title,company,skills,seniority,category,salary_min,salary_max,description
Full Stack Engineer,Darkroom,"react, devops, Typescript, Node.js, Python, Go, Gcp, Docker, Kubernetes, Terraform, Postgresql, Graphql, Rest, Api, Ml",mid,Engineering,,,"What weâre building Weâre empowering small teams with technology that makes it easier to market and grow businesses. Our current focus it to help consumer brands shift from ""workflow automation"" to ""agent managementâ within their marketing operations. Matter is the AI coordination layer â providing shared AI memory, centralized agent control, and model differentiation. We founded the company based on a decade of experience providing marketing services to 300+ consumer brands, leveraging "
Customer Success Manager,LiveKit,"Go, Rust, Api, Ml, Ai, Ui",manager,Engineering,150000,240000,"LiveKit is revolutionizing the AI landscape by providing the essential network infrastructure that powers multimodal AI interfaces, enabling seamless audio and visual interactions. Founded in 2021, LiveKit has rapidly grown to support over 3 Billion calls annually, 100,000+ developers globally, and industry giants like OpenAI, Character AI, Spotify, and Meta. You'll thrive at LiveKit if you: are customer obsessed are known as the go-to person for tackling tough problems work hard and can build a"
Vice President Senior Frontend Developer,Galaxy,"web3, Api, Ml, Ai, Ui, Git, Blockchain",senior,Engineering,,,"Who We Are: Galaxy is a global leader in digital assets and data center infrastructure, delivering solutions that accelerate progress in finance and artificial intelligence. We believe that blockchain and digital asset innovation will transform how value moves through the world â and weâre building the products and services to make that future a reality. Our institutional digital assets platform spans trading, investment banking, asset management, staking, self-custody, and tokenization tech"
Senior Golang Engineer,Everwest,"golang, Go, Ui, Git",senior,Engineering,,,"Join our team to reshape digital logistics through our Cargo Delivery Platform, a core product that drives real operational value in cargo transport and delivery. As a Senior Golang Engineer, youâll build and evolve event-driven, scalable services that... Please mention the word **CAJOLE** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1). This is a beta feature to avoid "
Data Scientist GeoAI,Esri,"Api, Ai, Data science",mid,Engineering,,,"Are you passionate about applying data science and artificial intelligence to solve some of the worldâs biggest challenges? So are we! Esri is the world leader in geographic information systems (GIS) and developer of ArcGIS, the leading mapping and analytics software used in 75 percent of Fortune 500 companies. At the Esri R&D Center-New Delhi, we are applying cutting-edge AI and deep learning techniques to revolutionize geospatial analysis and derive insight from imagery and location data. Ou"
Full Stack Engineer Developer Portal,Helius,"web3, react, devops, api, Typescript, Java, Go, Golang, Rust, C#, Graphql, Rest, Ai, Ui, Ci/cd",mid,Engineering,,,"About Helius Helius is building the core infrastructure for Solana - empowering developers to create the next generation of crypto-powered applications. Our mission is to accelerate the development of internet capital markets by making it easier, faster, and more intuitive to build on-chain. Thousands of teams - from early-stage startups to industry leaders like Coinbase, Phantom, and Jupiter - rely on Helius APIs, webhooks, and indexing tools to power their products. Backed by Haun Ventures, Fo"
C# .Net developer,AEXGroup,"C#, Postgresql, Mysql, Rest, Api, Ai, Ui, Ux, Git",mid,Engineering,200000,310000,"About the Role We are seeking a skilled C# Developer Â with strong experience in JSON data handling Â and database integration . The ideal candidate will work closely with our engineering and product teams to design, develop, and maintain high-performance applications that interact with various data sources and APIs. Experience with .NET Â or Transportation Management Systems (TMS) Â is a strong plus. Â Key Responsibilities Design, implement, and maintain software solutions using C# . Work with "
Customer Support,Contra,"Ai, Ui",mid,Other,50000,60000,"Who we are and what we do Contra is building the worldâs first professional network for independent creatives and the companies that hire them. We are commission-free, global, and focused on enabling the future of flexible work. Alongside our network and marketplace, weâre launching new product lines including Contra for Companies , Contra Ads Network , and Creative RLHF & Evaluation Services for AI labs and creative-tool companies. We've raised over $51M from leading investors like NEA, Unu"
Enterprise Account Executive,Grow Therapy,"Go, Rust, Api, Ai, Ui",mid,Marketing,60000,120000,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, weâre building a team of entrepreneurs and mission-dri"
Senior Software Engineer Client Engagement,Grow Therapy,"api, Typescript, React, Python, Go, Rust, Ai, Ui",senior,Engineering,,,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, weâre building a team of entrepreneurs and mission-dri"
Senior Software Engineer Billing Platform,Grow Therapy,"Go, Rust, Api, Ai, Ui",senior,Engineering,100000,150000,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, weâre building a team of entrepreneurs and mission-dri"
Current openings,ALX Africa,,mid,Other,,,Please mention the word **SPECTACULARLY** and tag RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1 when applying to show you read the job post completely (#RMjQwMTo0OTAwOjFjMWI6ZjAyYTpiOTBlOjM3MjA6YzA2NzoyNWU1). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.
Blockchain Site Reliability Engineer,InfStones,"web3, solidity, Javascript, Python, Java, Go, Golang, Rust, Docker, Kubernetes, Rest, Api, Ml, Ai, Ui",mid,Engineering,,,"Job Position: Blockchain Site Reliability Engineer Location: Dallas, TX, USA (Remote Acceptable - USA Applicants Only) Company: https://infstones.com/ Contact: recruiter-usa@infstones.com About Company InfStones is an advanced, enterprise-grade Platform as a Service (PaaS) blockchain infrastructure provider trusted by the top blockchain companies in the world. InfStonesâ AI-based infrastructure provides developers worldwide with a rugged, powerful node management platform alongside an easy-to-"
Operations Risk Analyst,Kalshi,"Go, Swift, Api, Ai, Ui",mid,Engineering,,,"What We're Up To Kalshi has defined a new category: prediction markets. Kalshi allows people to trade on the outcome of any events and turn any question about the future into a financial asset. Kalshi fought for years and legalized prediction markets in the US for the first time in history. Kalshi is currently the fastest growing financial market in America, and has over 1,900 markets across politics, economics, financials, weather, tech, AI, culture and more. We believe prediction markets have "
Blockchain Security Expert Security Audit Track,CertiK,"web3, Go, Golang, Rust, Aws, Rest, Ai, Ui, Solidity, Blockchain",mid,Engineering,,,"About You Youâre a self-starter. You believe in tackling the most important problems, even if they are the most difficult problems. Youâre comfortable with the unknown and understand that #startuplife means that youâre going to be wearing multiple hats. And thatâs what motivates you. Youâre accountable and obsessed with improvement, both in yourself and in others. Youâre up to the challenge of building a world-class company that aims to be the infrastructure for more secure software "
Product Engineer,PostHog,"python, rust, javascript, typescript, react, angular, vue, golang, Go, Rest, Ml, Ai, Ui, Ux",mid,Engineering,120000,260000,"About PostHog We're shipping every product that companies need to run their business from their first day, to the day they IPO, and beyond. The operating system for folks who build software. We started with open-source product analytics, launched out of Y Combinator's W20 cohort . We've since shipped more than a dozen products , including: A built-in data warehouse , so users can query product and customer data together using custom SQL insights. A customer data platform , so they can send their"
VP Protocol Engineer,Galaxy Digital Services,"web3, Api, Ai, Ui, Git, Blockchain",executive,Engineering,120000,180000,"Who We Are: Galaxy is a global leader in digital assets and data center infrastructure, delivering solutions that accelerate progress in finance and artificial intelligence. We believe that blockchain and digital asset innovation will transform how value moves through the world â and weâre building the products and services to make that future a reality. Our institutional digital assets platform spans trading, investment banking, asset management, staking, self-custody, and tokenization tech"
Technical Copywriter,Warp,"api, Ai, Ui",mid,Marketing,60000,80000,"Warp: We're Building the Platform for Agentic Development Warp began with the vision of reimagining one of the fundamental dev toolsâthe terminalâto make it more usable and powerful for all developers. As AI has advanced, Warp has evolved beyond its terminal roots into the platform for Agentic Development: a workbench for dispatching agents to code, deploy, and debug production software. With over 700k active developers and revenue that has grown over 20x this year so far, Warp is now one of"
Technical Content Writer &amp; Knowledge Specialist,Skio,"css, Go, Graphql, Api, Ml, Ai, Ui",mid,Engineering,,,"Weâre looking for a Knowledge Specialist to own and evolve our self-service and internal documentation experience. Youâll be the go-to person for creating, updating, and organizing help content that empowers both customers and teammates. This is a hands-on role where youâll execute on documentation needs while also helping improve how we manage knowledge at scale. You'll collaborate across teams, source information from tools like Slack and Notion, and help build systems that actually work"
